epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,8436.46,1.35784,2.35576,0.85512,0.31204,0.1689,0.168,0.11645,1.34827,2.64462,0.86515,1.34402e-05,1.34402e-05,1.34402e-05
80,8518.73,1.34245,2.28849,0.85124,0.31661,0.17273,0.1674,0.11593,1.34917,2.62783,0.86533,1.28561e-05,1.28561e-05,1.28561e-05
81,8600,1.36528,2.34524,0.85219,0.32659,0.17133,0.16888,0.11737,1.34358,2.63007,0.86448,1.2272e-05,1.2272e-05,1.2272e-05
82,8672.32,1.35735,2.31655,0.85058,0.33697,0.16901,0.16078,0.11217,1.3424,2.62997,0.86449,1.16879e-05,1.16879e-05,1.16879e-05
83,8742.15,1.36759,2.33883,0.84961,0.35187,0.17095,0.16706,0.11558,1.34181,2.63081,0.8647,1.11038e-05,1.11038e-05,1.11038e-05
84,8807.48,1.34549,2.27032,0.85038,0.2934,0.18699,0.1625,0.1128,1.34082,2.62427,0.86378,1.05197e-05,1.05197e-05,1.05197e-05
85,8877.85,1.33227,2.29616,0.84837,0.31572,0.18866,0.16881,0.11713,1.34807,2.61823,0.86471,9.9356e-06,9.9356e-06,9.9356e-06
86,8952.45,1.3454,2.28061,0.84624,0.29463,0.18516,0.16684,0.11575,1.34892,2.61139,0.86531,9.3515e-06,9.3515e-06,9.3515e-06
87,9017.17,1.37836,2.30072,0.85292,0.33699,0.172,0.16817,0.11787,1.3458,2.60454,0.86441,8.7674e-06,8.7674e-06,8.7674e-06
88,9085.78,1.36149,2.28814,0.84901,0.32571,0.18628,0.17145,0.11949,1.34356,2.60869,0.86406,8.1833e-06,8.1833e-06,8.1833e-06
89,9147.67,1.31873,2.26261,0.84856,0.31511,0.19665,0.17037,0.11893,1.34153,2.60438,0.86432,7.5992e-06,7.5992e-06,7.5992e-06
90,9219.83,1.33844,2.27704,0.85001,0.32725,0.18893,0.17332,0.12166,1.33977,2.60528,0.86391,7.0151e-06,7.0151e-06,7.0151e-06
91,9407.43,1.35403,2.55352,0.85578,0.33775,0.17967,0.16114,0.10843,1.37279,2.69181,0.86855,6.431e-06,6.431e-06,6.431e-06
92,9537.18,1.32699,2.48839,0.85912,0.34279,0.16734,0.16092,0.10715,1.38319,2.72034,0.86971,5.8469e-06,5.8469e-06,5.8469e-06
93,9645.58,1.33912,2.50707,0.85391,0.32162,0.17031,0.15933,0.10629,1.38221,2.72159,0.86968,5.2628e-06,5.2628e-06,5.2628e-06
94,9740.77,1.32796,2.44182,0.8516,0.33337,0.1721,0.16423,0.11153,1.37735,2.7091,0.86892,4.6787e-06,4.6787e-06,4.6787e-06
95,9846.51,1.31332,2.45473,0.85521,0.30262,0.18662,0.16484,0.11156,1.37983,2.70121,0.86895,4.0946e-06,4.0946e-06,4.0946e-06
96,9934.56,1.29728,2.40347,0.8548,0.29811,0.18939,0.16835,0.11417,1.37761,2.68555,0.86913,3.5105e-06,3.5105e-06,3.5105e-06
97,10008.4,1.30288,2.38792,0.84962,0.29392,0.19087,0.16912,0.11453,1.3766,2.6792,0.86877,2.9264e-06,2.9264e-06,2.9264e-06
98,10088.1,1.31,2.43032,0.85115,0.30033,0.1966,0.17051,0.11446,1.37496,2.67721,0.8685,2.3423e-06,2.3423e-06,2.3423e-06
99,10167,1.3073,2.43315,0.84755,0.29895,0.19551,0.17207,0.11497,1.37639,2.67555,0.86858,1.7582e-06,1.7582e-06,1.7582e-06
100,10245.3,1.32322,2.46208,0.85053,0.29677,0.19773,0.17218,0.11495,1.37722,2.67782,0.86877,1.1741e-06,1.1741e-06,1.1741e-06
